ClaveEntidad,NombreEntidad,ClaveMunicipio,NombreMunicipio,ClaveLocalidad,NombreLocalidad,serviciosComunitarios,infraestructura,proyectosProductivos,suma,ID_LOC,id,year
1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,2,3,0,5,10010001,1001,2013
1,Aguascalientes,1,Aguascalientes,479,Villa Licenciado Jes_s Ter_n (Calvillito),0,1,0,1,10010479,1001,2013
1,Aguascalientes,2,Asientos,1,Asientos,1,0,0,1,10020001,1002,2013
1,Aguascalientes,2,Asientos,291,Villa Ju_rez,0,1,0,1,10020291,1002,2013
1,Aguascalientes,3,Calvillo,1,Calvillo,2,1,3,6,10030001,1003,2013
1,Aguascalientes,3,Calvillo,24,Chiquihuitero (San Isidro),0,1,0,1,10030024,1003,2013
1,Aguascalientes,3,Calvillo,32,Jaltiche de Abajo,0,1,0,1,10030032,1003,2013
1,Aguascalientes,3,Calvillo,33,Jaltiche de Arriba,0,2,0,2,10030033,1003,2013
1,Aguascalientes,3,Calvillo,57,Ojo de Agua,0,1,0,1,10030057,1003,2013
1,Aguascalientes,3,Calvillo,84,San Tadeo,0,1,0,1,10030084,1003,2013
1,Aguascalientes,3,Calvillo,113,El G_encho,0,1,0,1,10030113,1003,2013
1,Aguascalientes,3,Calvillo,126,Las Chave_as,0,1,0,1,10030126,1003,2013
1,Aguascalientes,3,Calvillo,136,Ejido Calvillo Sector Emiliano Zapata,0,1,0,1,10030136,1003,2013
1,Aguascalientes,3,Calvillo,190,El Papant_n,0,0,1,1,10030190,1003,2013
1,Aguascalientes,3,Calvillo,247,Ojo de Agua de los Santos,0,1,0,1,10030247,1003,2013
1,Aguascalientes,4,Cos_o,1,Cos_o,1,1,0,2,10040001,1004,2013
1,Aguascalientes,6,Pabell_n de Arteaga,1,Pabell_n de Arteaga,1,0,0,1,10060001,1006,2013
1,Aguascalientes,7,Rinc_n de Romos,1,Rinc_n de Romos,1,0,0,1,10070001,1007,2013
1,Aguascalientes,7,Rinc_n de Romos,28,Estancia de Mosqueira,0,1,0,1,10070028,1007,2013
1,Aguascalientes,8,San Jos_ de Gracia,1,San Jos_ de Gracia,1,3,0,4,10080001,1008,2013
1,Aguascalientes,9,Tepezal_,166,Tepezal_,1,0,0,1,10090166,1009,2013
2,Baja California,1,Ensenada,2485,San Antonio de las Minas,0,0,1,1,20012485,2001,2013
2,Baja California,4,Tijuana,1,Tijuana,12,3,1,16,20040001,2004,2013
2,Baja California,4,Tijuana,1345,Terrazas del Sol,0,0,1,1,20041345,2004,2013
4,Campeche,1,Calkin_,1,Calkin_,0,1,0,1,40010001,4001,2013
4,Campeche,2,Campeche,110,Alfredo V. Bonfil,0,0,1,1,40020110,4002,2013
4,Campeche,3,Carmen,3217,El Aguacatal,0,0,1,1,40033217,4003,2013
4,Campeche,3,Carmen,3263,Conquista Campesina,0,0,1,1,40033263,4003,2013
4,Campeche,3,Carmen,3531,San Isidro,0,0,1,1,40033531,4003,2013
4,Campeche,4,Champot_n,1,Champot_n,1,0,1,2,40040001,4004,2013
4,Campeche,9,Esc_rcega,2,Divisi_n del Norte,1,0,1,2,40090002,4009,2013
4,Campeche,9,Esc_rcega,255,El Lechugal,0,0,1,1,40090255,4009,2013
4,Campeche,10,Calakmul,77,Dos Naciones,0,1,0,1,40100077,4010,2013
4,Campeche,11,Candelaria,41,Benito Ju_rez Uno,0,0,1,1,40110041,4011,2013
4,Campeche,11,Candelaria,135,El Desenga_o,1,0,0,1,40110135,4011,2013
6,Colima,2,Colima,1,Colima,0,2,0,2,60020001,6002,2013
6,Colima,2,Colima,54,Los Asmoles,0,1,0,1,60020054,6002,2013
6,Colima,2,Colima,109,Los Tepames,0,3,0,3,60020109,6002,2013
6,Colima,3,Comala,1,Comala,0,1,0,1,60030001,6003,2013
6,Colima,3,Comala,11,Cofrad_a de Suchitl_n,0,1,0,1,60030011,6003,2013
6,Colima,3,Comala,37,Zacualpan,0,2,0,2,60030037,6003,2013
6,Colima,3,Comala,362,Comala,0,1,0,1,60030362,6003,2013
6,Colima,4,Coquimatl_n,7,El Colomo,0,1,0,1,60040007,6004,2013
6,Colima,4,Coquimatl_n,9,Cruz de Piedra,0,1,0,1,60040009,6004,2013
6,Colima,4,Coquimatl_n,15,Pueblo Ju_rez (La Magdalena),0,1,0,1,60040015,6004,2013
6,Colima,4,Coquimatl_n,16,Los Limones,0,2,0,2,60040016,6004,2013
6,Colima,5,Cuauht_moc,1,Cuauht_moc,0,1,0,1,60050001,6005,2013
6,Colima,5,Cuauht_moc,7,Buenavista,0,3,0,3,60050007,6005,2013
6,Colima,5,Cuauht_moc,9,El C_bano,0,2,0,2,60050009,6005,2013
6,Colima,5,Cuauht_moc,10,Chiapa,0,2,0,2,60050010,6005,2013
6,Colima,5,Cuauht_moc,13,Montitl_n,0,2,0,2,60050013,6005,2013
6,Colima,5,Cuauht_moc,14,Ocotillo,0,2,0,2,60050014,6005,2013
6,Colima,5,Cuauht_moc,21,San Joaqu_n,0,1,0,1,60050021,6005,2013
6,Colima,5,Cuauht_moc,23,El Trapiche,0,1,0,1,60050023,6005,2013
6,Colima,5,Cuauht_moc,71,Baj_o de la Leona,0,1,0,1,60050071,6005,2013
6,Colima,6,Ixtlahuac_n,1,Ixtlahuac_n,0,1,0,1,60060001,6006,2013
6,Colima,6,Ixtlahuac_n,3,Agua de la Virgen,0,1,0,1,60060003,6006,2013
6,Colima,6,Ixtlahuac_n,6,Aquiles Serd_n (Tamala),0,1,0,1,60060006,6006,2013
6,Colima,6,Ixtlahuac_n,14,Las Conchas,0,4,0,4,60060014,6006,2013
6,Colima,7,Manzanillo,50,Puertecito de Lajas,0,28,0,28,60070050,6007,2013
6,Colima,8,Minatitl_n,1,Minatitl_n,0,1,0,1,60080001,6008,2013
6,Colima,8,Minatitl_n,152,Minatitl_n,0,3,0,3,60080152,6008,2013
6,Colima,9,Tecom_n,1,Tecom_n,0,2,0,2,60090001,6009,2013
6,Colima,9,Tecom_n,27,Cofrad_a de Hidalgo (Laguna de Alcuzahue),0,2,0,2,60090027,6009,2013
6,Colima,9,Tecom_n,30,Colonia Ladislao Moreno,0,1,0,1,60090030,6009,2013
7,Chiapas,6,Amatenango de la Frontera,34,Nuevo Amatenango,0,1,0,1,70060034,7006,2013
7,Chiapas,31,Chil_n,7,Aurora Grande,0,1,0,1,70310007,7031,2013
7,Chiapas,31,Chil_n,51,San Mart_n Cruzt_n,0,1,0,1,70310051,7031,2013
7,Chiapas,31,Chil_n,229,Centro Tz_ Olj_,0,2,0,2,70310229,7031,2013
7,Chiapas,31,Chil_n,456,La Betania,0,1,0,1,70310456,7031,2013
7,Chiapas,31,Chil_n,511,Bawitz Mango,0,1,0,1,70310511,7031,2013
7,Chiapas,31,Chil_n,564,Jol Cantel_,0,1,0,1,70310564,7031,2013
7,Chiapas,31,Chil_n,605,Mazanilj_,0,2,0,2,70310605,7031,2013
7,Chiapas,31,Chil_n,710,Buenavista San Jos_ Napil_,0,1,0,1,70310710,7031,2013
7,Chiapas,31,Chil_n,828,Pamalh_ 2da. Secci_n,0,2,0,2,70310828,7031,2013
7,Chiapas,75,Las Rosas,194,Las Rosas,0,2,0,2,70750194,7075,2013
7,Chiapas,93,Tenejapa,74,Bawits,0,1,0,1,70930074,7093,2013
7,Chiapas,106,Venustiano Carranza,49,Guadalupe Victoria,0,1,0,1,71060049,7106,2013
8,Chihuahua,6,Bach_niva,1,Bach_niva,0,1,0,1,80060001,8006,2013
8,Chihuahua,9,Bocoyna,1,Bocoyna,0,1,0,1,80090001,8009,2013
8,Chihuahua,10,Buenaventura,5,Ejido Benito Ju_rez,0,1,0,1,80100005,8010,2013
8,Chihuahua,12,Carich_,7,Bacabureachi,0,1,0,1,80120007,8012,2013
8,Chihuahua,14,Coronado,1,Jos_ Esteban Coronado,0,0,1,1,80140001,8014,2013
8,Chihuahua,17,Cuauht_moc,1,Cuauht_moc,0,1,0,1,80170001,8017,2013
8,Chihuahua,18,Cusihuiriachi,76,Santa Rita,0,1,0,1,80180076,8018,2013
8,Chihuahua,19,Chihuahua,1,Chihuahua,0,0,1,1,80190001,8019,2013
8,Chihuahua,21,Delicias,1,Delicias,0,1,0,1,80210001,8021,2013
8,Chihuahua,22,Dr. Belisario Dom_nguez,1,San Lorenzo,0,1,0,1,80220001,8022,2013
8,Chihuahua,22,Dr. Belisario Dom_nguez,14,Santa Mar_a de Cuevas,0,1,0,1,80220014,8022,2013
8,Chihuahua,24,Santa Isabel,1,Santa Isabel,0,1,1,2,80240001,8024,2013
8,Chihuahua,25,G_mez Far_as,1,Valent_n G_mez Far_as,0,1,0,1,80250001,8025,2013
8,Chihuahua,26,Gran Morelos,2,El Aguaje,0,1,0,1,80260002,8026,2013
8,Chihuahua,31,Guerrero,1,Vicente Guerrero,0,1,1,2,80310001,8031,2013
8,Chihuahua,36,Jim_nez,1,Jos_ Mariano Jim_nez,0,1,0,1,80360001,8036,2013
8,Chihuahua,39,L_pez,1,Octaviano L_pez,0,0,2,2,80390001,8039,2013
8,Chihuahua,40,Madera,1,Madera,0,1,1,2,80400001,8040,2013
8,Chihuahua,45,Meoqui,1,Pedro Meoqui,0,0,1,1,80450001,8045,2013
8,Chihuahua,47,Moris,1,Moris,0,1,0,1,80470001,8047,2013
8,Chihuahua,48,Namiquipa,1,Namiquipa,0,2,1,3,80480001,8048,2013
8,Chihuahua,48,Namiquipa,43,El Molino,0,1,0,1,80480043,8048,2013
8,Chihuahua,48,Namiquipa,65,Santa Ana,0,1,0,1,80480065,8048,2013
8,Chihuahua,50,Nuevo Casas Grandes,1,Nuevo Casas Grandes,0,1,0,1,80500001,8050,2013
8,Chihuahua,51,Ocampo,1,Melchor Ocampo,0,1,0,1,80510001,8051,2013
8,Chihuahua,52,Ojinaga,365,El Oasis,0,2,0,2,80520365,8052,2013
8,Chihuahua,54,Riva Palacio,1,San Andr_s,0,1,0,1,80540001,8054,2013
