ClaveEntidad,NombreEntidad,ClaveMunicipio,NombreMunicipio,ClaveLocalidad,NombreLocalidad,serviciosComunitarios,infraestructura,proyectosProductivos,suma,ID_LOC,id,year
1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,4,0,5,10010001,1001,2014
1,Aguascalientes,1,Aguascalientes,479,Villa Licenciado Jes_s Ter_n (Calvillito),0,0,1,1,10010479,1001,2014
1,Aguascalientes,2,Asientos,1,Asientos,2,0,0,2,10020001,1002,2014
1,Aguascalientes,2,Asientos,17,La Dichosa,0,1,0,1,10020017,1002,2014
1,Aguascalientes,2,Asientos,30,L_zaro C_rdenas,0,1,0,1,10020030,1002,2014
1,Aguascalientes,2,Asientos,39,Pilotos,0,1,0,1,10020039,1002,2014
1,Aguascalientes,2,Asientos,58,El Tule,0,1,0,1,10020058,1002,2014
1,Aguascalientes,2,Asientos,59,Villa Ju_rez,0,2,0,2,10020059,1002,2014
1,Aguascalientes,2,Asientos,291,Villa Ju_rez,0,0,1,1,10020291,1002,2014
1,Aguascalientes,3,Calvillo,1,Calvillo,2,2,0,4,10030001,1003,2014
1,Aguascalientes,3,Calvillo,36,La Labor,0,0,1,1,10030036,1003,2014
1,Aguascalientes,3,Calvillo,55,Ojocaliente,0,0,1,1,10030055,1003,2014
1,Aguascalientes,3,Calvillo,60,La Panadera,0,0,1,1,10030060,1003,2014
1,Aguascalientes,3,Calvillo,84,San Tadeo,1,0,0,1,10030084,1003,2014
1,Aguascalientes,3,Calvillo,95,El Terrero de la Labor,0,0,2,2,10030095,1003,2014
1,Aguascalientes,4,Cos_o,1,Cos_o,2,2,0,4,10040001,1004,2014
1,Aguascalientes,4,Cos_o,28,El Refugio de Agua Zarca,0,1,0,1,10040028,1004,2014
1,Aguascalientes,5,Jes_s Mar_a,1,Jes_s Mar_a,0,0,1,1,10050001,1005,2014
1,Aguascalientes,5,Jes_s Mar_a,106,La Tomatina,0,0,1,1,10050106,1005,2014
1,Aguascalientes,6,Pabell_n de Arteaga,1,Pabell_n de Arteaga,1,0,0,1,10060001,1006,2014
