ClaveEntidad,NombreEntidad,ClaveMunicipio,NombreMunicipio,agua,drenaje,electrificacion,infraestructuraDeportiva,infraestructuraEducativa,infraestructuraSalud,ccas,otrasInfraestructura,id,year
01,Aguascalientes,001,Aguascalientes,,,2,,,,,,01001,2013
02,Baja California,001,Ensenada,,,,,,,4,,02001,2013
02,Baja California,002,Mexicali,,,,,,,4,,02002,2013
03,Baja California Sur,001,Comondð,,1,,,,,,,03001,2013
04,Campeche,002,Campeche,,,,1,,,,3,04002,2013
04,Campeche,004,Champotðn,,,,4,,,,,04004,2013
04,Campeche,005,Hecelchakðn,,,,,,,3,,04005,2013
04,Campeche,006,Hopelchðn,,,,,,,4,,04006,2013
04,Campeche,008,Tenabo,,,,1,,,,,04008,2013
04,Campeche,009,Escðrcega,,,,,,,4,,04009,2013
04,Campeche,010,Calakmul,,,,,,,3,,04010,2013
04,Campeche,011,Candelaria,,,,1,,,4,1,04011,2013
05,Coahuila de Zaragoza,011,General Cepeda,,,,,,,1,,05011,2013
05,Coahuila de Zaragoza,015,Juðrez,,,,,,,2,,05015,2013
05,Coahuila de Zaragoza,023,Ocampo,,,,,,1,,,05023,2013
05,Coahuila de Zaragoza,036,Viesca,,,,,,1,3,,05036,2013
07,Chiapas,001,Acacoyagua,,,,,,,1,,07001,2013
07,Chiapas,003,Acapetahua,,,,,,,3,,07003,2013
07,Chiapas,004,Altamirano,,,,,,,10,,07004,2013
07,Chiapas,005,Amatðn,,,,,,,3,,07005,2013
07,Chiapas,006,Amatenango de la Frontera,,,,,,,1,,07006,2013
07,Chiapas,007,Amatenango del Valle,,,,,1,,2,,07007,2013
07,Chiapas,008,Angel Albino Corzo,,,,,,,4,,07008,2013
07,Chiapas,010,Bejucal de Ocampo,,,,,,,6,,07010,2013
07,Chiapas,011,Bella Vista,,,,,,,6,,07011,2013
07,Chiapas,012,Berriozðbal,,,,,,,1,,07012,2013
07,Chiapas,013,Bochil,,,,,,,3,,07013,2013
07,Chiapas,016,Catazajð,,,,,,,1,,07016,2013
07,Chiapas,017,Cintalapa,,,,,,,2,,07017,2013
07,Chiapas,018,Coapilla,,,,,,,2,,07018,2013
07,Chiapas,020,La Concordia,,,,,,,1,,07020,2013
07,Chiapas,021,Copainalð,,,,,,,4,,07021,2013
07,Chiapas,022,Chalchihuitðn,,,,,,,3,,07022,2013
07,Chiapas,023,Chamula,,,,,,,3,,07023,2013
07,Chiapas,024,Chanal,2,,,,,,1,,07024,2013
07,Chiapas,026,Chenalhð,,,,,,,1,,07026,2013
07,Chiapas,028,Chiapilla,,,,,,,1,,07028,2013
07,Chiapas,031,Chilðn,,1,,,,,11,,07031,2013
07,Chiapas,032,Escuintla,,,,,,,3,,07032,2013
07,Chiapas,033,Francisco Leðn,,,,,,,3,,07033,2013
07,Chiapas,036,La Grandeza,,,,,,,5,,07036,2013
07,Chiapas,037,Huehuetðn,,,,,,,2,,07037,2013
07,Chiapas,038,Huixtðn,,,,,,,4,,07038,2013
07,Chiapas,039,Huitiupðn,,,,,,,6,,07039,2013
07,Chiapas,041,La Independencia,,,,,,,2,,07041,2013
07,Chiapas,042,Ixhuatðn,,,,,,,3,,07042,2013
07,Chiapas,043,Ixtacomitðn,,,,,,,1,,07043,2013
07,Chiapas,046,Jiquipilas,,,,,,,1,,07046,2013
07,Chiapas,047,Jitotol,,,,,,,2,,07047,2013
07,Chiapas,048,Juðrez,,,,,,,2,,07048,2013
07,Chiapas,049,Larrðinzar,,,,,,,3,,07049,2013
07,Chiapas,051,Mapastepec,,,,,,,2,,07051,2013
