ClaveEntidad,NombreEntidad,ClaveMunicipio,NombreMunicipio,agua,drenaje,electrificacion,infraestructuraDeportiva,infraestructuraEducativa,infraestructuraSalud,ccas,otrasInfraestructura,suma,id,year
1,Aguascalientes,1,Aguascalientes,0,0,2,0,0,0,0,0,2,1001,2013
2,Baja California,1,Ensenada,0,0,0,0,0,0,4,0,4,2001,2013
2,Baja California,2,Mexicali,0,0,0,0,0,0,4,0,4,2002,2013
3,Baja California Sur,1,Comondð,0,1,0,0,0,0,0,0,1,3001,2013
4,Campeche,2,Campeche,0,0,0,1,0,0,0,3,4,4002,2013
4,Campeche,4,Champotðn,0,0,0,4,0,0,0,0,4,4004,2013
4,Campeche,5,Hecelchakðn,0,0,0,0,0,0,3,0,3,4005,2013
4,Campeche,6,Hopelchðn,0,0,0,0,0,0,4,0,4,4006,2013
4,Campeche,8,Tenabo,0,0,0,1,0,0,0,0,1,4008,2013
4,Campeche,9,Escðrcega,0,0,0,0,0,0,4,0,4,4009,2013
4,Campeche,10,Calakmul,0,0,0,0,0,0,3,0,3,4010,2013
4,Campeche,11,Candelaria,0,0,0,1,0,0,4,1,6,4011,2013
5,Coahuila de Zaragoza,11,General Cepeda,0,0,0,0,0,0,1,0,1,5011,2013
5,Coahuila de Zaragoza,15,Juðrez,0,0,0,0,0,0,2,0,2,5015,2013
5,Coahuila de Zaragoza,23,Ocampo,0,0,0,0,0,1,0,0,1,5023,2013
5,Coahuila de Zaragoza,36,Viesca,0,0,0,0,0,1,3,0,4,5036,2013
7,Chiapas,1,Acacoyagua,0,0,0,0,0,0,1,0,1,7001,2013
7,Chiapas,3,Acapetahua,0,0,0,0,0,0,3,0,3,7003,2013
7,Chiapas,4,Altamirano,0,0,0,0,0,0,10,0,10,7004,2013
7,Chiapas,5,Amatðn,0,0,0,0,0,0,3,0,3,7005,2013
7,Chiapas,6,Amatenango de la Frontera,0,0,0,0,0,0,1,0,1,7006,2013
7,Chiapas,7,Amatenango del Valle,0,0,0,0,1,0,2,0,3,7007,2013
7,Chiapas,8,Angel Albino Corzo,0,0,0,0,0,0,4,0,4,7008,2013
7,Chiapas,10,Bejucal de Ocampo,0,0,0,0,0,0,6,0,6,7010,2013
7,Chiapas,11,Bella Vista,0,0,0,0,0,0,6,0,6,7011,2013
7,Chiapas,12,Berriozðbal,0,0,0,0,0,0,1,0,1,7012,2013
7,Chiapas,13,Bochil,0,0,0,0,0,0,3,0,3,7013,2013
7,Chiapas,16,Catazajð,0,0,0,0,0,0,1,0,1,7016,2013
7,Chiapas,17,Cintalapa,0,0,0,0,0,0,2,0,2,7017,2013
7,Chiapas,18,Coapilla,0,0,0,0,0,0,2,0,2,7018,2013
7,Chiapas,20,La Concordia,0,0,0,0,0,0,1,0,1,7020,2013
7,Chiapas,21,Copainalð,0,0,0,0,0,0,4,0,4,7021,2013
7,Chiapas,22,Chalchihuitðn,0,0,0,0,0,0,3,0,3,7022,2013
7,Chiapas,23,Chamula,0,0,0,0,0,0,3,0,3,7023,2013
7,Chiapas,24,Chanal,2,0,0,0,0,0,1,0,3,7024,2013
7,Chiapas,26,Chenalhð,0,0,0,0,0,0,1,0,1,7026,2013
7,Chiapas,28,Chiapilla,0,0,0,0,0,0,1,0,1,7028,2013
7,Chiapas,31,Chilðn,0,1,0,0,0,0,11,0,12,7031,2013
7,Chiapas,32,Escuintla,0,0,0,0,0,0,3,0,3,7032,2013
7,Chiapas,33,Francisco Leðn,0,0,0,0,0,0,3,0,3,7033,2013
7,Chiapas,36,La Grandeza,0,0,0,0,0,0,5,0,5,7036,2013
7,Chiapas,37,Huehuetðn,0,0,0,0,0,0,2,0,2,7037,2013
7,Chiapas,38,Huixtðn,0,0,0,0,0,0,4,0,4,7038,2013
7,Chiapas,39,Huitiupðn,0,0,0,0,0,0,6,0,6,7039,2013
7,Chiapas,41,La Independencia,0,0,0,0,0,0,2,0,2,7041,2013
7,Chiapas,42,Ixhuatðn,0,0,0,0,0,0,3,0,3,7042,2013
7,Chiapas,43,Ixtacomitðn,0,0,0,0,0,0,1,0,1,7043,2013
7,Chiapas,46,Jiquipilas,0,0,0,0,0,0,1,0,1,7046,2013
7,Chiapas,47,Jitotol,0,0,0,0,0,0,2,0,2,7047,2013
7,Chiapas,48,Juðrez,0,0,0,0,0,0,2,0,2,7048,2013
7,Chiapas,49,Larrðinzar,0,0,0,0,0,0,3,0,3,7049,2013
7,Chiapas,51,Mapastepec,0,0,0,0,0,0,2,0,2,7051,2013
7,Chiapas,52,Las Margaritas,0,0,0,0,0,0,14,0,14,7052,2013
7,Chiapas,53,Mazapa de Madero,0,0,0,0,0,0,1,0,1,7053,2013
7,Chiapas,56,Mitontic,0,0,0,0,0,0,2,0,2,7056,2013
7,Chiapas,57,Motozintla,0,0,0,0,0,0,1,0,1,7057,2013
7,Chiapas,58,Nicolðs Ruðz,0,0,0,0,0,0,1,0,1,7058,2013
