ClaveEntidad,NombreEntidad,ClaveMunicipio,NombreMunicipio,agua,drenaje,electrificacion,infraestructuraDeportiva,infraestructuraEducativa,infraestructuraSalud,bancosalimentos,ccas,otrasInfraestructura,id,year
02,Baja California,001,Ensenada,,,,,,,,,7,02001,2014
02,Baja California,003,Tecate,,,,,,,,,3,02003,2014
02,Baja California,004,Tijuana,,,,,,,,,15,02004,2014
02,Baja California,005,Playas de Rosarito,,,,,,,,,1,02005,2014
03,Baja California Sur,001,Comond_,,,,,,,,2,,03001,2014
03,Baja California Sur,002,Muleg_,,,,,,,,1,,03002,2014
04,Campeche,003,Carmen,,1,,,,,,1,,04003,2014
04,Campeche,005,Hecelchak_n,,,,,,,,1,,04005,2014
04,Campeche,007,Palizada,,,,,1,,,,,04007,2014
04,Campeche,009,Esc_rcega,,,,,,,,1,,04009,2014
04,Campeche,010,Calakmul,,,,,,,,,3,04010,2014
05,Coahuila de Zaragoza,030,Saltillo,,,,,1,,,,,05030,2014
05,Coahuila de Zaragoza,035,Torre_n,,,,,,,1,,,05035,2014
06,Colima,001,Armer_a,,,,,,,,,5,06001,2014
06,Colima,002,Colima,,,,,,,,,1,06002,2014
06,Colima,003,Comala,,,,,,,,,1,06003,2014
06,Colima,004,Coquimatl_n,,,,,,,,,1,06004,2014
06,Colima,005,Cuauht_moc,,,,,,,,,1,06005,2014
06,Colima,006,Ixtlahuac_n,,,,,,,,1,4,06006,2014
06,Colima,007,Manzanillo,,,,,,,,,2,06007,2014
06,Colima,008,Minatitl_n,,,,,,,,,2,06008,2014
06,Colima,009,Tecom_n,,,,,,,,,5,06009,2014
06,Colima,010,Villa de _lvarez,,,,,,,,,3,06010,2014
07,Chiapas,101,Tuxtla Guti_rrez,,,,1,,,,,1,07101,2014
07,Chiapas,111,Zinacant_n,,,,,,,,,1,07111,2014
08,Chihuahua,007,Balleza,1,,,,,,,,,08007,2014
08,Chihuahua,008,Batopilas,1,,,,,,,,,08008,2014
08,Chihuahua,009,Bocoyna,,,,,,,,1,,08009,2014
08,Chihuahua,012,Carich_,,,,,,,,,1,08012,2014
08,Chihuahua,019,Chihuahua,,,,3,,,,,6,08019,2014
08,Chihuahua,020,Ch_nipas,1,1,,,,,,,,08020,2014
08,Chihuahua,027,Guachochi,,,,,,,,,1,08027,2014
08,Chihuahua,029,Guadalupe y Calvo,,,,,,,,,1,08029,2014
08,Chihuahua,030,Guazapares,,,,,,,,,1,08030,2014
08,Chihuahua,041,Maguarichi,,,,,,,,1,,08041,2014
08,Chihuahua,046,Morelos,1,,,,5,6,,,,08046,2014
08,Chihuahua,049,Nonoava,,,,,,,,1,,08049,2014
08,Chihuahua,051,Ocampo,,,,1,,,,2,,08051,2014
08,Chihuahua,063,Tem_sachic,,,,,,,,2,,08063,2014
08,Chihuahua,065,Urique,,1,,,,,,3,,08065,2014
10,Durango,005,Durango,2,,,,,,,,,10005,2014
10,Durango,012,Lerdo,1,1,,,,,,,,10012,2014
10,Durango,014,Mezquital,,,,,,,,,1,10014,2014
10,Durango,027,San Juan de Guadalupe,,,,,,,,2,,10027,2014
10,Durango,035,Tepehuanes,,,,,,,,1,,10035,2014
10,Durango,037,Topia,,,,,,,,1,,10037,2014
11,Guanajuato,006,Atarjea,,,,,,,,3,,11006,2014
