ClaveEntidad,NombreEntidad,ClaveMunicipio,NombreMunicipio,agua,drenaje,electrificacion,infraestructuraDeportiva,infraestructuraEducativa,infraestructuraSalud,bancosalimentos,ccas,otrasInfraestructura,suma,id,year
2,Baja California,1,Ensenada,0,0,0,0,0,0,0,0,7,7,2001,2014
2,Baja California,3,Tecate,0,0,0,0,0,0,0,0,3,3,2003,2014
2,Baja California,4,Tijuana,0,0,0,0,0,0,0,0,15,15,2004,2014
2,Baja California,5,Playas de Rosarito,0,0,0,0,0,0,0,0,1,1,2005,2014
3,Baja California Sur,1,Comond_,0,0,0,0,0,0,0,2,0,2,3001,2014
3,Baja California Sur,2,Muleg_,0,0,0,0,0,0,0,1,0,1,3002,2014
4,Campeche,3,Carmen,0,1,0,0,0,0,0,1,0,2,4003,2014
4,Campeche,5,Hecelchak_n,0,0,0,0,0,0,0,1,0,1,4005,2014
4,Campeche,7,Palizada,0,0,0,0,1,0,0,0,0,1,4007,2014
4,Campeche,9,Esc_rcega,0,0,0,0,0,0,0,1,0,1,4009,2014
4,Campeche,10,Calakmul,0,0,0,0,0,0,0,0,3,3,4010,2014
5,Coahuila de Zaragoza,30,Saltillo,0,0,0,0,1,0,0,0,0,1,5030,2014
5,Coahuila de Zaragoza,35,Torre_n,0,0,0,0,0,0,1,0,0,1,5035,2014
6,Colima,1,Armer_a,0,0,0,0,0,0,0,0,5,5,6001,2014
6,Colima,2,Colima,0,0,0,0,0,0,0,0,1,1,6002,2014
6,Colima,3,Comala,0,0,0,0,0,0,0,0,1,1,6003,2014
6,Colima,4,Coquimatl_n,0,0,0,0,0,0,0,0,1,1,6004,2014
6,Colima,5,Cuauht_moc,0,0,0,0,0,0,0,0,1,1,6005,2014
6,Colima,6,Ixtlahuac_n,0,0,0,0,0,0,0,1,4,5,6006,2014
6,Colima,7,Manzanillo,0,0,0,0,0,0,0,0,2,2,6007,2014
6,Colima,8,Minatitl_n,0,0,0,0,0,0,0,0,2,2,6008,2014
6,Colima,9,Tecom_n,0,0,0,0,0,0,0,0,5,5,6009,2014
6,Colima,10,Villa de _lvarez,0,0,0,0,0,0,0,0,3,3,6010,2014
7,Chiapas,101,Tuxtla Guti_rrez,0,0,0,1,0,0,0,0,1,2,7101,2014
7,Chiapas,111,Zinacant_n,0,0,0,0,0,0,0,0,1,1,7111,2014
8,Chihuahua,7,Balleza,1,0,0,0,0,0,0,0,0,1,8007,2014
8,Chihuahua,8,Batopilas,1,0,0,0,0,0,0,0,0,1,8008,2014
8,Chihuahua,9,Bocoyna,0,0,0,0,0,0,0,1,0,1,8009,2014
8,Chihuahua,12,Carich_,0,0,0,0,0,0,0,0,1,1,8012,2014
8,Chihuahua,19,Chihuahua,0,0,0,3,0,0,0,0,6,9,8019,2014
8,Chihuahua,20,Ch_nipas,1,1,0,0,0,0,0,0,0,2,8020,2014
8,Chihuahua,27,Guachochi,0,0,0,0,0,0,0,0,1,1,8027,2014
8,Chihuahua,29,Guadalupe y Calvo,0,0,0,0,0,0,0,0,1,1,8029,2014
8,Chihuahua,30,Guazapares,0,0,0,0,0,0,0,0,1,1,8030,2014
8,Chihuahua,41,Maguarichi,0,0,0,0,0,0,0,1,0,1,8041,2014
8,Chihuahua,46,Morelos,1,0,0,0,5,6,0,0,0,12,8046,2014
8,Chihuahua,49,Nonoava,0,0,0,0,0,0,0,1,0,1,8049,2014
8,Chihuahua,51,Ocampo,0,0,0,1,0,0,0,2,0,3,8051,2014
8,Chihuahua,63,Tem_sachic,0,0,0,0,0,0,0,2,0,2,8063,2014
8,Chihuahua,65,Urique,0,1,0,0,0,0,0,3,0,4,8065,2014
10,Durango,5,Durango,2,0,0,0,0,0,0,0,0,2,10005,2014
10,Durango,12,Lerdo,1,1,0,0,0,0,0,0,0,2,10012,2014
10,Durango,14,Mezquital,0,0,0,0,0,0,0,0,1,1,10014,2014
10,Durango,27,San Juan de Guadalupe,0,0,0,0,0,0,0,2,0,2,10027,2014
10,Durango,35,Tepehuanes,0,0,0,0,0,0,0,1,0,1,10035,2014
10,Durango,37,Topia,0,0,0,0,0,0,0,1,0,1,10037,2014
11,Guanajuato,6,Atarjea,0,0,0,0,0,0,0,3,0,3,11006,2014
11,Guanajuato,13,Doctor Mora,0,0,0,0,0,0,0,4,0,4,11013,2014
11,Guanajuato,15,Guanajuato,0,0,0,0,0,0,1,0,0,1,11015,2014
11,Guanajuato,19,Jer_cuaro,0,0,0,0,0,0,0,1,0,1,11019,2014
11,Guanajuato,20,Le_n,0,0,0,0,0,0,1,0,0,1,11020,2014
11,Guanajuato,22,Ocampo,0,0,0,0,0,0,0,5,0,5,11022,2014
11,Guanajuato,29,San Diego de la Uni_n,0,0,0,0,0,0,0,2,0,2,11029,2014
11,Guanajuato,30,San Felipe,0,0,0,0,0,0,0,4,0,4,11030,2014
11,Guanajuato,40,Tierra Blanca,0,0,0,0,0,0,0,1,0,1,11040,2014
11,Guanajuato,43,Victoria,0,0,0,0,0,0,0,4,0,4,11043,2014
11,Guanajuato,45,Xich_,0,0,0,0,0,0,0,4,0,4,11045,2014
12,Guerrero,4,Alcozauca de Guerrero,0,0,0,0,0,0,0,4,0,4,12004,2014
12,Guerrero,10,Atlixtac,0,0,0,0,0,0,0,1,0,1,12010,2014
12,Guerrero,11,Atoyac de _lvarez,0,0,0,0,0,0,0,2,0,2,12011,2014
12,Guerrero,13,Azoy_,0,0,0,0,0,0,0,1,0,1,12013,2014
12,Guerrero,16,Coahuayutla de Jos_ Mar_a Izazaga,0,0,0,0,0,0,0,2,0,2,12016,2014
12,Guerrero,19,Copalillo,0,0,0,0,0,0,0,2,0,2,12019,2014
12,Guerrero,27,Cutzamala de Pinz_n,0,0,0,0,0,0,0,1,0,1,12027,2014
12,Guerrero,28,Chilapa de _lvarez,0,0,0,0,0,0,0,2,4,6,12028,2014
12,Guerrero,39,Juan R. Escudero,0,0,0,0,0,0,0,2,0,2,12039,2014
12,Guerrero,40,Leonardo Bravo,0,0,0,0,0,0,0,2,0,2,12040,2014
12,Guerrero,41,Malinaltepec,0,0,0,0,1,0,0,0,1,2,12041,2014
12,Guerrero,47,Pedro Ascencio Alquisiras,0,0,0,0,0,0,0,2,0,2,12047,2014
12,Guerrero,48,Petatl_n,0,0,0,0,0,0,0,2,0,2,12048,2014
12,Guerrero,49,Pilcaya,0,0,0,0,0,0,0,1,0,1,12049,2014
12,Guerrero,51,Quechultenango,0,0,0,0,0,0,0,4,0,4,12051,2014
12,Guerrero,57,T_cpan de Galeana,0,0,0,0,0,0,0,1,0,1,12057,2014
12,Guerrero,58,Teloloapan,0,0,0,0,0,0,0,2,0,2,12058,2014
12,Guerrero,59,Tepecoacuilco de Trujano,0,0,0,0,0,0,0,1,0,1,12059,2014
12,Guerrero,62,Tlacoachistlahuaca,0,0,0,0,0,0,0,4,0,4,12062,2014
12,Guerrero,63,Tlacoapa,0,0,0,0,0,0,0,2,3,5,12063,2014
12,Guerrero,66,Tlapa de Comonfort,0,0,0,0,0,0,0,0,1,1,12066,2014
12,Guerrero,72,Zapotitl_n Tablas,0,0,0,0,0,0,0,2,0,2,12072,2014
12,Guerrero,76,Acatepec,0,0,0,0,0,0,0,0,2,2,12076,2014
12,Guerrero,77,Marquelia,0,0,0,0,0,0,0,2,0,2,12077,2014
12,Guerrero,78,Cochoapa el Grande,0,0,0,0,0,0,0,0,1,1,12078,2014
12,Guerrero,79,Jos_ Joaqu_n de Herrera,0,0,0,0,0,0,0,1,3,4,12079,2014
13,Hidalgo,14,Calnali,0,0,0,0,0,0,0,1,0,1,13014,2014
13,Hidalgo,16,Cuautepec de Hinojosa,0,0,0,0,0,0,0,1,0,1,13016,2014
13,Hidalgo,30,Ixmiquilpan,0,0,0,0,0,0,0,1,0,1,13030,2014
