CVEGEO,year_x,ENTIDAD,MUNICIPIO,homicidios,pop,hom_rate,year_y,3x1 Projects Granted in 2013
1001,2013,AGUASCALIENTES,AGUASCALIENTES,19,797010,2.383909863,2013,6
1002,2013,AGUASCALIENTES,ASIENTOS,5,45492,10.99094346,2013,2
1003,2013,AGUASCALIENTES,CALVILLO,0,54136,0,2013,17
1004,2013,AGUASCALIENTES,COSIO,0,15042,0,2013,2
1005,2013,AGUASCALIENTES,JESUS MARIA,7,99590,7.028818154,,
1006,2013,AGUASCALIENTES,PABELLON DE ARTEAGA,1,41862,2.3888013,2013,1
1007,2013,AGUASCALIENTES,RINCON DE ROMOS,2,49156,4.068679307,2013,2
1008,2013,AGUASCALIENTES,SAN JOSE DE GRACIA,0,8443,0,2013,4
1009,2013,AGUASCALIENTES,TEPEZALA,0,19668,0,2013,1
1010,2013,AGUASCALIENTES,EL LLANO,1,18828,5.311238581,,
1011,2013,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,4,35769,11.18286785,,
2001,2013,BAJA CALIFORNIA,ENSENADA,48,466814,10.28246796,2013,1
2002,2013,BAJA CALIFORNIA,MEXICALI,151,936826,16.11825462,,
2003,2013,BAJA CALIFORNIA,TECATE,34,101079,33.63705616,,
2004,2013,BAJA CALIFORNIA,TIJUANA,492,1559683,31.54487162,2013,17
2005,2013,BAJA CALIFORNIA,PLAYAS DE ROSARITO,50,90668,55.14624785,,
3001,2013,BAJA CALIFORNIA SUR,COMONDU,2,70816,2.824220515,,
3002,2013,BAJA CALIFORNIA SUR,MULEGE,9,59114,15.22481984,,
3003,2013,BAJA CALIFORNIA SUR,LA PAZ,24,251871,9.528687304,,
3008,2013,BAJA CALIFORNIA SUR,LOS CABOS,20,238487,8.386201344,,
3009,2013,BAJA CALIFORNIA SUR,LORETO,1,16738,5.974429442,,
4001,2013,CAMPECHE,CALKINI,1,52890,1.890716582,2013,1
4002,2013,CAMPECHE,CAMPECHE,11,259005,4.247022258,2013,1
4003,2013,CAMPECHE,CARMEN,25,221094,11.30740771,2013,3
4004,2013,CAMPECHE,CHAMPOTON,6,83021,7.227087123,2013,2
4005,2013,CAMPECHE,HECELCHAKAN,1,28306,3.532819897,,
4006,2013,CAMPECHE,HOPELCHEN,0,37777,0,,
4007,2013,CAMPECHE,PALIZADA,0,8352,0,,
4008,2013,CAMPECHE,TENABO,1,9736,10.27115859,,
4009,2013,CAMPECHE,ESCARCEGA,10,54184,18.45563266,2013,3
4010,2013,CAMPECHE,CALAKMUL,2,26882,7.439922625,2013,1
4011,2013,CAMPECHE,CANDELARIA,10,41194,24.27537991,2013,2
5001,2013,COAHUILA,ABASOLO,2,1070,186.9158879,,
5002,2013,COAHUILA,ACU?A,13,136755,9.506050967,,
5003,2013,COAHUILA,ALLENDE,8,22675,35.28114664,,
5004,2013,COAHUILA,ARTEAGA,7,22544,31.05039035,,
5005,2013,COAHUILA,CANDELA,0,1808,0,,
5006,2013,COAHUILA,CASTA?OS,4,25892,15.44878727,,
5007,2013,COAHUILA,CUATRO CIENEGAS,0,13013,0,,
5008,2013,COAHUILA,ESCOBEDO,1,2901,34.47087211,,
5009,2013,COAHUILA,FRANCISCO I. MADERO,15,55676,26.94159063,,
5010,2013,COAHUILA,FRONTERA,13,75215,17.28378648,,
5011,2013,COAHUILA,GENERAL CEPEDA,1,11682,8.560178052,,
5012,2013,COAHUILA,GUERRERO,3,2091,143.472023,,
5013,2013,COAHUILA,HIDALGO,0,1852,0,,
5014,2013,COAHUILA,JIMENEZ,3,9935,30.19627579,,
5015,2013,COAHUILA,JUAREZ,0,1599,0,,
5016,2013,COAHUILA,LAMADRID,1,1835,54.49591281,,
5017,2013,COAHUILA,MATAMOROS,54,107160,50.39193729,,
5018,2013,COAHUILA,MONCLOVA,45,216206,20.81348344,,
5019,2013,COAHUILA,MORELOS,0,8207,0,,
5020,2013,COAHUILA,MUZQUIZ,8,66834,11.96995541,,
5021,2013,COAHUILA,NADADORES,0,6335,0,,
5022,2013,COAHUILA,NAVA,4,27928,14.32254368,,
5023,2013,COAHUILA,OCAMPO,0,10991,0,,
5024,2013,COAHUILA,PARRAS,3,45401,6.60778397,,
5025,2013,COAHUILA,PIEDRAS NEGRAS,32,152806,20.94158606,,
5026,2013,COAHUILA,PROGRESO,3,3473,86.38065073,,
5027,2013,COAHUILA,RAMOS ARIZPE,18,75461,23.85338122,,
5028,2013,COAHUILA,SABINAS,14,60847,23.00852959,,
5029,2013,COAHUILA,SACRAMENTO,0,2314,0,,
5030,2013,COAHUILA,SALTILLO,76,725123,10.48098047,,
5031,2013,COAHUILA,SAN BUENAVENTURA,2,22149,9.029753036,,
5032,2013,COAHUILA,SAN JUAN DE SABINAS,3,41649,7.203054095,,
5033,2013,COAHUILA,SAN PEDRO,62,102650,60.39941549,,
5034,2013,COAHUILA,SIERRA MOJADA,1,6375,15.68627451,,
5035,2013,COAHUILA,TORREON,239,639629,37.36541026,,
5036,2013,COAHUILA,VIESCA,7,21319,32.83456072,,
5037,2013,COAHUILA,VILLA UNION,0,6289,0,,
5038,2013,COAHUILA,ZARAGOZA,3,12702,23.61832782,,
6001,2013,COLIMA,ARMERIA,23,28695,80.15333682,,
6002,2013,COLIMA,COLIMA,39,146904,26.54794968,2013,6
6003,2013,COLIMA,COMALA,0,20888,0,2013,5
6004,2013,COLIMA,COQUIMATLAN,4,19385,20.63451122,2013,5
6005,2013,COLIMA,CUAUHTEMOC,6,27107,22.134504,2013,15
6006,2013,COLIMA,IXTLAHUACAN,2,5300,37.73584906,2013,7
6007,2013,COLIMA,MANZANILLO,54,161420,33.4531037,2013,28
6008,2013,COLIMA,MINATITLAN,1,8174,12.23391241,2013,4
6009,2013,COLIMA,TECOMAN,45,112726,39.91980555,2013,5
6010,2013,COLIMA,VILLA DE ALVAREZ,4,119956,3.334556004,,
7001,2013,CHIAPAS,ACACOYAGUA,2,16814,11.89484953,,
7002,2013,CHIAPAS,ACALA,2,28947,6.909178844,,
7003,2013,CHIAPAS,ACAPETAHUA,2,27580,7.251631617,,
7004,2013,CHIAPAS,ALTAMIRANO,0,29865,0,,
7005,2013,CHIAPAS,AMATAN,2,21275,9.400705053,,
7006,2013,CHIAPAS,AMATENANGO DE LA FRONTERA,2,29547,6.768876705,2013,1
7007,2013,CHIAPAS,AMATENANGO DEL VALLE,0,8728,0,,
7008,2013,CHIAPAS,ANGEL ALBINO CORZO,3,26628,11.26633619,,
7009,2013,CHIAPAS,ARRIAGA,10,40042,24.97377753,,
7010,2013,CHIAPAS,BEJUCAL DE OCAMPO,0,7623,0,,
7011,2013,CHIAPAS,BELLA VISTA,3,19281,15.55935895,,
7012,2013,CHIAPAS,BERRIOZABAL,1,43179,2.315940619,,
7013,2013,CHIAPAS,BOCHIL,2,30642,6.5269891,,
7014,2013,CHIAPAS,EL BOSQUE,1,18559,5.388221348,,
7015,2013,CHIAPAS,CACAHOATAN,3,43811,6.847595353,,
7016,2013,CHIAPAS,CATAZAJA,0,17140,0,,
7017,2013,CHIAPAS,CINTALAPA,6,78114,7.681081496,,
7018,2013,CHIAPAS,COAPILLA,1,8444,11.84272856,,
7019,2013,CHIAPAS,COMITAN DE DOMINGUEZ,7,141013,4.964081326,,
7020,2013,CHIAPAS,LA CONCORDIA,6,44082,13.61099769,,
7021,2013,CHIAPAS,COPAINALA,1,21050,4.750593824,,
7022,2013,CHIAPAS,CHALCHIHUITAN,1,14027,7.129108149,,
7023,2013,CHIAPAS,CHAMULA,6,76941,7.798183023,,
7024,2013,CHIAPAS,CHANAL,1,10817,9.244707405,,
7025,2013,CHIAPAS,CHAPULTENANGO,0,7332,0,,
7026,2013,CHIAPAS,CHENALHO,1,36111,2.76923929,,
7027,2013,CHIAPAS,CHIAPA DE CORZO,11,87603,12.5566476,,
7028,2013,CHIAPAS,CHIAPILLA,0,5405,0,,
7029,2013,CHIAPAS,CHICOASEN,3,5018,59.78477481,,
7030,2013,CHIAPAS,CHICOMUSELO,2,31515,6.346184357,,
7031,2013,CHIAPAS,CHILON,12,111554,10.75712211,2013,12
