id,Homicides in 2013,Homicide Rate in 2013,3x1 Projects Granted in 2013,Homicides in 2014,Homicide Rate in 2014,3x1 Projects Granted in 2014
1001,19.0,2.383909863113386,6.0,31.0,3.889537145079735,6.0
1002,5.0,10.990943462586829,2.0,0.0,0.0,9.0
1003,0.0,0.0,17.0,2.0,3.694399290675336,10.0
1004,0.0,0.0,2.0,0.0,0.0,5.0
1005,7.0,7.028818154433176,,6.0,6.024701275228437,2.0
1006,1.0,2.388801299507907,1.0,0.0,0.0,1.0
1007,2.0,4.068679306697046,2.0,1.0,2.034339653348523,3.0
1008,0.0,0.0,4.0,0.0,0.0,3.0
1009,0.0,0.0,1.0,0.0,0.0,4.0
1010,1.0,5.311238580837051,,1.0,5.311238580837051,
1011,4.0,11.182867846459224,,1.0,2.795716961614806,1.0
2001,48.0,10.28246796368575,1.0,50.0,10.710904128839323,1.0
2002,151.0,16.118254617186114,,134.0,14.303616680151917,
2003,34.0,33.63705616399054,,23.0,22.75447916975831,
2004,492.0,31.544871618142917,17.0,462.0,29.621403836548836,15.0
2005,50.0,55.14624784929633,,45.0,49.63162306436671,6.0
3001,2.0,2.824220515137822,,1.0,1.412110257568911,
3002,9.0,15.224819839631897,,4.0,6.766586595391955,
3003,24.0,9.528687304215254,,49.0,19.454403246106143,
3008,20.0,8.386201344308075,,14.0,5.870340941015653,
3009,1.0,5.97442944198829,,2.0,11.94885888397658,
4001,1.0,1.8907165815844207,1.0,1.0,1.8907165815844207,2.0
4002,11.0,4.247022258257562,1.0,9.0,3.474836393119824,
4003,25.0,11.30740770893828,3.0,28.0,12.664296634010872,
4004,6.0,7.227087122535263,2.0,8.0,9.636116163380349,4.0
4005,1.0,3.532819896841659,,1.0,3.532819896841659,
4006,0.0,0.0,,1.0,2.647113322921354,
4007,0.0,0.0,,0.0,0.0,1.0
4008,1.0,10.271158586688578,,0.0,0.0,1.0
4009,10.0,18.455632659087556,3.0,5.0,9.227816329543778,2.0
4010,2.0,7.439922624804702,1.0,2.0,7.439922624804702,2.0
4011,10.0,24.275379909695584,2.0,10.0,24.275379909695584,1.0
5001,2.0,186.9158878504673,,1.0,93.45794392523365,
5002,13.0,9.506050967057877,,20.0,14.624693795473657,
5003,8.0,35.28114663726571,,0.0,0.0,
5004,7.0,31.050390347764374,,2.0,8.87154009936125,
5005,0.0,0.0,,0.0,0.0,
5006,4.0,15.44878727019929,,6.0,23.173180905298935,
5007,0.0,0.0,,3.0,23.053869207715362,
5008,1.0,34.47087211306446,,0.0,0.0,
5009,15.0,26.941590631510884,,4.0,7.184424168402903,
5010,13.0,17.283786478760884,,7.0,9.306654257794323,
5011,1.0,8.560178051703474,,1.0,8.560178051703474,
5012,3.0,143.47202295552367,,2.0,95.64801530368246,
5013,0.0,0.0,,3.0,161.98704103671707,
5014,3.0,30.19627579265224,,3.0,30.19627579265224,
5015,0.0,0.0,,2.0,125.07817385866166,
5016,1.0,54.495912806539515,,0.0,0.0,
5017,54.0,50.391937290033596,,6.0,5.599104143337066,
5018,45.0,20.813483437092405,,42.0,19.425917874619575,
5019,0.0,0.0,,2.0,24.369440721335444,
5020,8.0,11.969955411916091,,10.0,14.962444264895113,
5021,0.0,0.0,,0.0,0.0,
5022,4.0,14.322543683758235,,3.0,10.741907762818677,
5023,0.0,0.0,,1.0,9.09835319807115,
5024,3.0,6.607783969516089,,2.0,4.405189313010727,
5025,32.0,20.941586063374476,,28.0,18.323887805452667,
5026,3.0,86.38065073423553,,0.0,0.0,
5027,18.0,23.85338121678748,,10.0,13.251878453770821,
5028,14.0,23.00852959061252,,5.0,8.217331996647328,
5029,0.0,0.0,,0.0,0.0,
5030,76.0,10.480980468141267,,46.0,6.34375133598024,
5031,2.0,9.029753036254458,,6.0,27.089259108763375,
5032,3.0,7.203054094936253,,6.0,14.406108189872507,
5033,62.0,60.39941548952751,,6.0,5.845104724792986,
5034,1.0,15.686274509803923,,0.0,0.0,
5035,239.0,37.36541026126083,,157.0,24.545478707188074,
5036,7.0,32.83456072048407,,2.0,9.38130306299545,
5037,0.0,0.0,,1.0,15.90077913817777,
5038,3.0,23.618327822390174,,3.0,23.618327822390174,
6001,23.0,80.15333681826101,,11.0,38.33420456525527,
6002,39.0,26.547949681424605,6.0,20.0,13.614333169961336,11.0
6003,0.0,0.0,5.0,3.0,14.362313289927233,2.0
6004,4.0,20.634511220015476,5.0,6.0,30.951766830023214,
