NOM_ENT,NOM_ENTC
AGS,Aguascalientes
BC,Baja California
BCS,Baja California Sur
CAM,Campeche
COAH ,Coahuila de Zaragoza
COL,Colima
CHIS,Chiapas
CHI,Chihuahua
CDMX,Ciudad de Mexico
DUR,Durango
GTO,Guanajuato
GRO,Guerrero
HGO,Hidalgo
JAL,Jalisco
EDOMEX,Mexico
MICH ,Michoacan de Ocampo
MOR,Morelos
NAY,Nayarit
NL,Nuevo Leon
OAX,Oaxaca
PUE,Puebla
QRO,Queretaro
QROO,Quintana Roo
SLP,San Luis Potosi
SIN,Sinaloa
SON,Sonora
TAB,Tabasco
TAM,Tamaulipas
TLAX,Tlaxcala
VER,Veracruz de Ignacio de la Llave
YUC,Yucatan
ZAC,Zacatecas
