id,nom,pop,hom,muj
1001,AGUASCALIENTES,797010,386429,410581
1002,ASIENTOS,45492,22512,22980
1003,CALVILLO,54136,26250,27886
1004,COSIO,15042,7326,7716
1005,JESUS MARIA,99590,49090,50500
1006,PABELLON DE ARTEAGA,41862,20170,21692
1007,RINCON DE ROMOS,49156,24067,25089
1008,SAN JOSE DE GRACIA,8443,4043,4400
1009,TEPEZALA,19668,9600,10068
1010,EL LLANO,18828,9573,9255
1011,SAN FRANCISCO DE LOS ROMO,35769,17578,18191
2001,ENSENADA,466814,235130,231684
2002,MEXICALI,936826,473203,463623
2003,TECATE,101079,53323,47756
2004,TIJUANA,1559683,783653,776030
2005,PLAYAS DE ROSARITO,90668,46301,44367
3001,COMONDU,70816,36436,34380
3002,MULEGE,59114,30617,28497
3003,LA PAZ,251871,126397,125474
3008,LOS CABOS,238487,123101,115386
3009,LORETO,16738,8882,7856
4001,CALKINI,52890,26072,26818
4002,CAMPECHE,259005,125561,133444
4003,CARMEN,221094,110317,110777
4004,CHAMPOTON,83021,41760,41261
4005,HECELCHAKAN,28306,14093,14213
4006,HOPELCHEN,37777,19306,18471
4007,PALIZADA,8352,4230,4122
4008,TENABO,9736,5002,4734
4009,ESCARCEGA,54184,26809,27375
4010,CALAKMUL,26882,13647,13235
4011,CANDELARIA,41194,20924,20270
5001,ABASOLO,1070,531,539
5002,ACUNA,136755,68350,68405
5003,ALLENDE,22675,11114,11561
5004,ARTEAGA,22544,11540,11004
5005,CANDELA,1808,939,869
5006,CASTANOS,25892,12945,12947
5007,CUATRO CIENEGAS,13013,6565,6448
5008,ESCOBEDO,2901,1475,1426
5009,FRANCISCO I. MADERO,55676,27739,27937
5010,FRONTERA,75215,37561,37654
5011,GENERAL CEPEDA,11682,6071,5611
5012,GUERRERO,2091,1115,976
5013,HIDALGO,1852,955,897
5014,JIMENEZ,9935,5041,4894
5015,JUAREZ,1599,827,772
5016,LAMADRID,1835,941,894
5017,MATAMOROS,107160,53353,53807
5018,MONCLOVA,216206,107401,108805
5019,MORELOS,8207,4095,4112
5020,MUZQUIZ,66834,33465,33369
5021,NADADORES,6335,3186,3149
5022,NAVA,27928,14237,13691
5023,OCAMPO,10991,5652,5339
5024,PARRAS,45401,23062,22339
5025,PIEDRAS NEGRAS,152806,76404,76402
5026,PROGRESO,3473,1774,1699
5027,RAMOS ARIZPE,75461,38302,37159
5028,SABINAS,60847,30247,30600
5029,SACRAMENTO,2314,1175,1139
5030,SALTILLO,725123,359366,365757
5031,SAN BUENAVENTURA,22149,11044,11105
