,id,year,ENTIDAD,MUNICIPIO,hom_rate,Servicios Comunitarios,Infraestructura,Proyectos Productivos,Total 3x1
0,1001,2013,AGUASCALIENTES,AGUASCALIENTES,2.3839098631133857,2,4,0,6
1,1002,2013,AGUASCALIENTES,ASIENTOS,10.990943462586827,1,1,0,2
2,1003,2013,AGUASCALIENTES,CALVILLO,0.0,2,11,4,17
3,1004,2013,AGUASCALIENTES,COSIO,0.0,1,1,0,2
4,1006,2013,AGUASCALIENTES,PABELLON DE ARTEAGA,2.388801299507907,1,0,0,1
5,1007,2013,AGUASCALIENTES,RINCON DE ROMOS,4.068679306697046,1,1,0,2
6,1008,2013,AGUASCALIENTES,SAN JOSE DE GRACIA,0.0,1,3,0,4
7,1009,2013,AGUASCALIENTES,TEPEZALA,0.0,1,0,0,1
8,2001,2013,BAJA CALIFORNIA,ENSENADA,10.28246796368575,0,0,1,1
9,2004,2013,BAJA CALIFORNIA,TIJUANA,31.54487161814292,12,3,2,17
10,4001,2013,CAMPECHE,CALKINI,1.890716581584421,0,1,0,1
11,4002,2013,CAMPECHE,CAMPECHE,4.247022258257562,0,0,1,1
12,4003,2013,CAMPECHE,CARMEN,11.307407708938278,0,0,3,3
13,4004,2013,CAMPECHE,CHAMPOTON,7.227087122535262,1,0,1,2
14,4009,2013,CAMPECHE,ESCARCEGA,18.45563265908756,1,0,2,3
15,4010,2013,CAMPECHE,CALAKMUL,7.4399226248047015,0,1,0,1
16,4011,2013,CAMPECHE,CANDELARIA,24.275379909695587,1,0,1,2
17,6002,2013,COLIMA,COLIMA,26.547949681424605,0,6,0,6
18,6003,2013,COLIMA,COMALA,0.0,0,5,0,5
19,6004,2013,COLIMA,COQUIMATLAN,20.63451122001548,0,5,0,5
20,6005,2013,COLIMA,CUAUHTEMOC,22.13450400265614,0,15,0,15
21,6006,2013,COLIMA,IXTLAHUACAN,37.735849056603776,0,7,0,7
22,6007,2013,COLIMA,MANZANILLO,33.45310370462148,0,28,0,28
23,6008,2013,COLIMA,MINATITLAN,12.233912405187178,0,4,0,4
24,6009,2013,COLIMA,TECOMAN,39.91980554619165,0,5,0,5
25,7006,2013,CHIAPAS,AMATENANGO DE LA FRONTERA,6.768876704910821,0,1,0,1
26,7031,2013,CHIAPAS,CHILON,10.7571221112645,0,12,0,12
27,7075,2013,CHIAPAS,LAS ROSAS,0.0,0,2,0,2
28,7093,2013,CHIAPAS,TENEJAPA,2.483361478096752,0,1,0,1
29,7106,2013,CHIAPAS,VENUSTIANO CARRANZA,24.45346505599843,0,1,0,1
30,8006,2013,CHIHUAHUA,BACHINIVA,0.0,0,1,0,1
31,8009,2013,CHIHUAHUA,BOCOYNA,83.43182924285615,0,1,0,1
32,8010,2013,CHIHUAHUA,BUENAVENTURA,13.406023773348824,0,1,0,1
33,8012,2013,CHIHUAHUA,CARICHI,34.110289937464465,0,1,0,1
34,8014,2013,CHIHUAHUA,CORONADO,43.78283712784589,0,0,1,1
35,8017,2013,CHIHUAHUA,CUAUHTEMOC,20.69335678580436,0,1,0,1
36,8018,2013,CHIHUAHUA,CUSIHUIRIACHI,73.88252678241595,0,1,0,1
37,8019,2013,CHIHUAHUA,CHIHUAHUA,30.62682495000262,0,0,1,1
38,8021,2013,CHIHUAHUA,DELICIAS,31.89908290136659,0,1,0,1
39,8022,2013,CHIHUAHUA,DR. BELISARIO DOMINGUEZ,0.0,0,2,0,2
40,8024,2013,CHIHUAHUA,SANTA ISABEL,50.80010160020319,0,1,1,2
41,8025,2013,CHIHUAHUA,GOMEZ FARIAS,11.595547309833027,0,1,0,1
42,8026,2013,CHIHUAHUA,GRAN MORELOS,373.94827048924896,0,1,0,1
43,8031,2013,CHIHUAHUA,GUERRERO,22.71236057134205,0,1,1,2
44,8036,2013,CHIHUAHUA,JIMENEZ,118.74469889737064,0,1,0,1
45,8039,2013,CHIHUAHUA,LOPEZ,74.53416149068323,0,0,2,2
46,8040,2013,CHIHUAHUA,MADERA,33.77123366316572,0,1,1,2
47,8045,2013,CHIHUAHUA,MEOQUI,50.19049574521479,0,0,1,1
48,8047,2013,CHIHUAHUA,MORIS,150.60240963855424,0,1,0,1
49,8048,2013,CHIHUAHUA,NAMIQUIPA,17.482517482517483,0,4,1,5
50,8050,2013,CHIHUAHUA,NUEVO CASAS GRANDES,6.741156445388207,0,1,0,1
51,8051,2013,CHIHUAHUA,OCAMPO,145.7725947521866,0,1,0,1
52,8052,2013,CHIHUAHUA,OJINAGA,22.810218978102192,0,2,0,2
53,8054,2013,CHIHUAHUA,RIVA PALACIO,49.92511233150275,0,1,0,1
54,8055,2013,CHIHUAHUA,ROSALES,77.45010425975573,0,1,0,1
55,8057,2013,CHIHUAHUA,SAN FRANCISCO DE BORJA,0.0,0,0,1,1
56,8061,2013,CHIHUAHUA,SATEVO,54.61496450027307,0,1,0,1
57,8063,2013,CHIHUAHUA,TEMOSACHIC,80.50233456770246,0,1,0,1
58,8065,2013,CHIHUAHUA,URIQUE,156.97046993034436,0,2,0,2
59,10002,2013,DURANGO,CANELAS,0.0,0,3,0,3
60,10004,2013,DURANGO,CUENCAME,17.823193916349812,0,0,1,1
61,10005,2013,DURANGO,DURANGO,14.082886373433494,1,0,8,9
62,10008,2013,DURANGO,GUADALUPE VICTORIA,11.74674027957242,0,2,0,2
63,10010,2013,DURANGO,HIDALGO,0.0,0,5,0,5
64,10011,2013,DURANGO,INDE,0.0,0,4,0,4
65,10012,2013,DURANGO,LERDO,42.540218231319535,0,0,1,1
66,10013,2013,DURANGO,MAPIMI,3.978199466921272,0,1,0,1
67,10015,2013,DURANGO,NAZAS,16.11473692691967,0,3,0,3
68,10016,2013,DURANGO,NOMBRE DE DIOS,10.817827780181739,0,1,4,5
69,10018,2013,DURANGO,EL ORO,132.50883392226152,0,2,0,2
70,10020,2013,DURANGO,PANUCO DE CORONADO,0.0,0,9,0,9
71,10021,2013,DURANGO,PE?ON BLANCO,0.0,0,1,1,2
72,10022,2013,DURANGO,POANAS,8.026326350429407,0,6,0,6
73,10023,2013,DURANGO,PUEBLO NUEVO,44.75001017045686,0,0,1,1
74,10024,2013,DURANGO,RODEO,7.819831091648421,0,2,0,2
75,10025,2013,DURANGO,SAN BERNARDO,0.0,0,1,0,1
76,10028,2013,DURANGO,SAN JUAN DEL RIO,42.176296921130316,1,2,0,3
77,10029,2013,DURANGO,SAN LUIS DEL CORDERO,0.0,0,6,0,6
78,10030,2013,DURANGO,SAN PEDRO DEL GALLO,0.0,0,2,0,2
79,10031,2013,DURANGO,SANTA CLARA,0.0,0,2,0,2
80,10033,2013,DURANGO,SUCHIL,0.0,0,0,2,2
81,10034,2013,DURANGO,TAMAZULA,83.43446601941747,0,3,0,3
82,10035,2013,DURANGO,TEPEHUANES,46.53327128897161,1,10,0,11
83,10036,2013,DURANGO,TLAHUALILO,26.9735659054127,0,18,4,22
84,10037,2013,DURANGO,TOPIA,11.653653420347277,0,6,2,8
85,10038,2013,DURANGO,VICENTE GUERRERO,23.67760572050954,0,5,1,6
86,10039,2013,DURANGO,NUEVO IDEAL,30.660738923808065,0,3,0,3
87,11001,2013,GUANAJUATO,ABASOLO,7.1147369918892,0,5,4,9
88,11003,2013,GUANAJUATO,SAN MIGUEL DE ALLENDE,11.846642100471994,0,0,1,1
89,11004,2013,GUANAJUATO,APASEO EL ALTO,10.863998261760278,0,8,0,8
90,11005,2013,GUANAJUATO,APASEO EL GRANDE,14.064862457365885,0,1,0,1
91,11008,2013,GUANAJUATO,MANUEL DOBLADO,10.768609503297887,0,0,1,1
92,11010,2013,GUANAJUATO,CORONEO,8.553588230262596,0,15,0,15
93,11011,2013,GUANAJUATO,CORTAZAR,9.05008088509791,0,2,0,2
94,11012,2013,GUANAJUATO,CUERAMARO,14.647722279185588,0,5,0,5
95,11013,2013,GUANAJUATO,DOCTOR MORA,8.574858514834505,0,13,0,13
96,11015,2013,GUANAJUATO,GUANAJUATO,5.82380655644142,0,4,1,5
97,11016,2013,GUANAJUATO,HUANIMARO,0.0,0,1,2,3
98,11017,2013,GUANAJUATO,IRAPUATO,9.632819582955577,0,0,5,5
99,11018,2013,GUANAJUATO,JARAL DEL PROGRESO,0.0,0,3,0,3
100,11019,2013,GUANAJUATO,JERECUARO,15.738117721120556,0,2,0,2
101,11020,2013,GUANAJUATO,LEON,11.625640454444197,0,3,12,15
102,11021,2013,GUANAJUATO,MOROLEON,4.051535531966615,0,2,0,2
103,11022,2013,GUANAJUATO,OCAMPO,0.0,0,13,1,14
104,11024,2013,GUANAJUATO,PUEBLO NUEVO,17.906706061420003,0,0,2,2
105,11025,2013,GUANAJUATO,PURISIMA DEL RINCON,14.53594011192674,0,2,0,2
106,11027,2013,GUANAJUATO,SALAMANCA,9.58838961078809,0,2,0,2
107,11028,2013,GUANAJUATO,SALVATIERRA,18.54637624415274,0,7,1,8
108,11030,2013,GUANAJUATO,SAN FELIPE,13.089984292018853,0,13,1,14
109,11031,2013,GUANAJUATO,SAN FRANCISCO DEL RINCON,14.088227524874526,0,3,1,4
110,11032,2013,GUANAJUATO,SAN JOSE ITURBIDE,11.048045186504812,0,18,0,18
111,11035,2013,GUANAJUATO,SANTA CRUZ DE JUVENTINO ROSAS,20.198449768980232,0,6,0,6
112,11039,2013,GUANAJUATO,TARIMORO,16.867673104495235,0,8,0,8
113,11041,2013,GUANAJUATO,URIANGATO,11.803389258915772,0,8,0,8
114,11044,2013,GUANAJUATO,VILLAGRAN,14.341543867197304,0,7,4,11
115,11046,2013,GUANAJUATO,YURIRIA,11.302308496510413,0,7,0,7
116,12006,2013,GUERRERO,APAXTLA,96.86011784647673,0,1,0,1
117,12011,2013,GUERRERO,ATOYAC DE ALVAREZ,97.85374127470809,4,2,1,7
118,12012,2013,GUERRERO,AYUTLA DE LOS LIBRES,27.11756260966661,0,1,2,3
119,12014,2013,GUERRERO,BENITO JUAREZ,0.0,2,1,0,3
120,12015,2013,GUERRERO,BUENAVISTA DE CUELLAR,0.0,0,3,0,3
121,12016,2013,GUERRERO,COAHUAYUTLA DE JOSE MARIA IZAZAGA,15.355086372360844,0,1,0,1
122,12017,2013,GUERRERO,COCULA,20.39844971782145,2,8,0,10
123,12018,2013,GUERRERO,COPALA,7.333528894103843,1,2,0,3
124,12021,2013,GUERRERO,COYUCA DE BENITEZ,144.2962156275524,1,0,0,1
125,12022,2013,GUERRERO,COYUCA DE CATALAN,159.2621645392094,0,0,3,3
126,12023,2013,GUERRERO,CUAJINICUILAPA,69.43908649023993,1,0,0,1
127,12026,2013,GUERRERO,CUETZALA DEL PROGRESO,10.909884355225834,0,1,0,1
128,12028,2013,GUERRERO,CHILAPA DE ALVAREZ,38.08262273367001,0,5,0,5
129,12029,2013,GUERRERO,CHILPANCINGO DE LOS BRAVO,67.84793787776616,1,1,1,3
130,12030,2013,GUERRERO,FLORENCIO VILLARREAL,24.78314745972739,1,2,1,4
131,12031,2013,GUERRERO,GENERAL CANUTO A. NERI,31.740993493096326,0,1,0,1
132,12032,2013,GUERRERO,GENERAL HELIODORO CASTILLO,43.732575302028096,0,1,1,2
133,12033,2013,GUERRERO,HUAMUXTITLAN,20.84346557354269,0,1,0,1
134,12034,2013,GUERRERO,HUITZUCO DE LOS FIGUEROA,16.058237876030404,0,2,0,2
135,12035,2013,GUERRERO,IGUALA DE LA INDEPENDENCIA,76.23091555466897,0,8,0,8
136,12037,2013,GUERRERO,IXCATEOPAN DE CUAUHTEMOC,15.144631228229592,0,3,0,3
137,12042,2013,GUERRERO,MARTIR DE CUILAPAN,0.0,0,1,0,1
138,12045,2013,GUERRERO,OLINALA,8.089633135137321,1,0,0,1
139,12046,2013,GUERRERO,OMETEPEC,79.92692395524092,0,0,1,1
140,12049,2013,GUERRERO,PILCAYA,51.91209551825575,1,2,0,3
141,12055,2013,GUERRERO,TAXCO DE ALARCON,24.98726610477352,1,27,0,28
142,12059,2013,GUERRERO,TEPECOACUILCO DE TRUJANO,13.127666557269444,0,1,0,1
143,12060,2013,GUERRERO,TETIPAC,7.617306520414382,0,5,0,5
144,12061,2013,GUERRERO,TIXTLA DE GUERRERO,32.452943232313146,0,0,1,1
145,12068,2013,GUERRERO,LA UNION DE ISIDORO MONTES DE OCA,124.45550715619166,0,1,0,1
146,12073,2013,GUERRERO,ZIRANDARO,10.630946685802373,0,0,2,2
147,12075,2013,GUERRERO,EDUARDO NERI,10.832358421075435,0,1,0,1
148,12080,2013,GUERRERO,JUCHITAN,55.81914596706671,0,1,0,1
149,13001,2013,HIDALGO,ACATLAN,4.980823828261196,0,1,0,1
150,13003,2013,HIDALGO,ACTOPAN,11.049927254645574,1,4,0,5
151,13006,2013,HIDALGO,ALFAJAYUCAN,0.0,0,4,0,4
152,13009,2013,HIDALGO,EL ARENAL,11.511453896627145,0,8,0,8
153,13012,2013,HIDALGO,ATOTONILCO EL GRANDE,3.7119524870081664,0,3,0,3
154,13015,2013,HIDALGO,CARDONAL,0.0,1,2,0,3
155,13018,2013,HIDALGO,CHAPULHUACAN,4.463887152932773,0,1,0,1
156,13019,2013,HIDALGO,CHILCUAUTLA,5.7352603808212885,0,3,1,4
157,13022,2013,HIDALGO,EPAZOYUCAN,0.0,0,3,0,3
158,13024,2013,HIDALGO,HUASCA DE OCAMPO,5.820044232336166,0,0,1,1
159,13030,2013,HIDALGO,IXMIQUILPAN,3.473709806282783,1,4,2,7
160,13031,2013,HIDALGO,JACALA DE LEDEZMA,15.620118712902215,0,1,0,1
161,13036,2013,HIDALGO,SAN AGUSTIN METZQUITITLAN,21.358393848782576,0,2,0,2
162,13037,2013,HIDALGO,METZTITLAN,4.624705175045091,0,3,0,3
163,13038,2013,HIDALGO,MINERAL DEL CHICO,0.0,0,1,0,1
164,13040,2013,HIDALGO,LA MISION,0.0,0,1,0,1
165,13041,2013,HIDALGO,MIXQUIAHUALA DE JUAREZ,0.0,0,3,0,3
166,13042,2013,HIDALGO,MOLANGO DE ESCAMILLA,26.76420733339281,0,1,0,1
167,13043,2013,HIDALGO,NICOLAS FLORES,0.0,0,1,0,1
168,13045,2013,HIDALGO,OMITLAN DE JUAREZ,0.0,0,4,0,4
169,13048,2013,HIDALGO,PACHUCA DE SOTO,5.226571891496367,0,3,2,5
170,13054,2013,HIDALGO,SAN SALVADOR,6.10258444451225,0,5,1,6
171,13055,2013,HIDALGO,SANTIAGO DE ANAYA,6.244536030972898,0,3,0,3
172,13056,2013,HIDALGO,SANTIAGO TULANTEPEC DE LUGO GUERRERO,0.0,0,5,0,5
173,13058,2013,HIDALGO,TASQUILLO,0.0,2,7,0,9
174,13066,2013,HIDALGO,VILLA DE TEZONTEPEC,0.0,0,2,0,2
175,13070,2013,HIDALGO,TLAHUELILPAN,17.489651955926078,0,2,0,2
176,13075,2013,HIDALGO,TOLCAYUCA,0.0,0,1,0,1
177,14001,2013,JALISCO,ACATIC,0.0,0,7,0,7
178,14003,2013,JALISCO,AHUALULCO DE MERCADO,0.0,0,4,0,4
179,14004,2013,JALISCO,AMACUECA,0.0,0,3,0,3
180,14005,2013,JALISCO,AMATITAN,0.0,0,5,0,5
181,14006,2013,JALISCO,AMECA,0.0,1,0,1,2
182,14007,2013,JALISCO,SAN JUANITO DE ESCOBEDO,0.0,0,4,0,4
183,14010,2013,JALISCO,ATEMAJAC DE BRIZUELA,0.0,1,2,0,3
184,14011,2013,JALISCO,ATENGO,0.0,0,2,0,2
185,14013,2013,JALISCO,ATOTONILCO EL ALTO,0.0,0,2,0,2
186,14014,2013,JALISCO,ATOYAC,0.0,0,6,0,6
